# K1_22dof.urdf  n_dofs=28  n_links=23
# Basis: root_joint = DOF 0..5 (floating, nicht ansteuern)
# 22 ansteuerbare Gelenke (lokale DOF-Indizes):

joint_name                   dof_local    lower    upper
AAHead_yaw                           6   -1.000    1.000
ALeft_Shoulder_Pitch                 7   -3.316    1.220
ARight_Shoulder_Pitch                8   -3.316    1.220
Left_Hip_Pitch                       9   -3.000    2.210
Right_Hip_Pitch                     10   -3.000    2.210
Head_pitch                          11   -0.349    0.855
Left_Shoulder_Roll                  12   -1.740    1.570
Right_Shoulder_Roll                 13   -1.570    1.740
Left_Hip_Roll                       14   -0.400    1.570
Right_Hip_Roll                      15   -1.570    0.400
Left_Elbow_Pitch                    16   -2.270    2.270
Right_Elbow_Pitch                   17   -2.270    2.270
Left_Hip_Yaw                        18   -1.000    1.000
Right_Hip_Yaw                       19   -1.000    1.000
Left_Elbow_Yaw                      20   -2.440    0.000
Right_Elbow_Yaw                     21    0.000    2.440
Left_Knee_Pitch                     22    0.000    2.230
Right_Knee_Pitch                    23    0.000    2.230
Left_Ankle_Pitch                    24   -0.870    0.345
Right_Ankle_Pitch                   25   -0.870    0.345
Left_Ankle_Roll                     26   -0.345    0.345
Right_Ankle_Roll                    27   -0.345    0.345
